id,type,category,status,created_at,keywords,roles,summary
DECISION_034,decision,architecture,active,2026-02-23T01:31:15.660Z,["all","decisions","approved","final","status","report","summary","consultation","files","created","total","work","implementation","phases","phase","foundation","weeks","infrastructure","core","features"],["librarian","oracle"],"**Date**: 2026-02-20 **Strategist**: Atlas **Status**: ALL APPROVED **Total Decisions**: 16 **All Oracle**: ✅ Approved **All Designer**: ✅ Approved **Ready for Implementation**: YES"
DECISION_039,decision,architecture,active,2026-02-23T01:31:15.662Z,["complete","decision","inventory","all","active","decisions","approved","ready","for","implementation","decision039","tool","migration","mcp","server","via","toolhive","decision038","multiagent","decisionmaking"],["librarian","oracle"],"**Date**: 2026-02-20 **Strategist**: Atlas **Status**: Mixed (Some Approved, Some Pending Designer) **Total Decisions**: 19 **Approved**: 8 **Pending Designer**: 4 **Already Approved**: 7"
DECISION-TOOLHIVE-001,decision,architecture,active,2026-02-23T01:31:15.663Z,["decision","toolhive","gateway","http","tool","discovery","problem","statement","root","cause","solution","changes","made","test","results","impact","verification","files","modified","deployment"],["librarian","oracle"],"**Decision ID**: DECISION-TOOLHIVE-001 **Title**: Fix ToolHive Gateway to Dynamically Discover Tools from HTTP MCP Servers **Status**: Completed **Date**: 2026-02-20 **Classification**: Tooling / Infrastructure"
DECISION_025,decision,architecture,active,2026-02-23T01:31:15.664Z,["decision025","atypicalitybased","anomaly","detection","for","jackpot","patterns","executive","summary","research","source","specification","requirements","technical","details","action","items","files","dependencies","designer"],["librarian","oracle"],"**Decision ID**: DECISION_025 **Category**: Analytics **Status**: Implemented **Priority**: High **Date**: 2026-02-20 **Oracle Approval**: 98% **Designer Approval**: Approved"
DECISION_027,decision,architecture,active,2026-02-23T01:31:15.667Z,["decision027","agentnetstyle","decentralized","coordination","protocol","executive","summary","research","source","action","items","files","dependencies","designer","strategy","phase","eventbus","enhancement","agent","role"],["librarian","oracle"],"**Decision ID**: DECISION_027 **Category**: Architecture **Status**: Implemented (AgentRegistry + PredictorAgent + ExecutorAgent + MonitorAgent) **Priority**: Medium **Date**: 2026-02-20 **Oracle Approval**: 92% **Designer Approval**: Approved"
DECISION_028,decision,architecture,active,2026-02-23T01:31:15.667Z,["decision028","xgboost","dynamic","wager","placement","optimization","executive","summary","research","source","action","items","files","dependencies","designer","strategy","phase","feature","engineering","model"],["librarian","oracle"],"**Decision ID**: DECISION_028 **Category**: Machine Learning **Status**: Phase 1 Implemented (WagerOptimizer rule-based + feature logging; Phase 2 XGBoost deferred until training data) **Priority**: Medium **Date**: 2026-02-20 **Oracle Approval**: 90% **Designer Approval**: Approved"
DECISION_031,decision,architecture,active,2026-02-23T01:31:15.668Z,["decision031","rename","l33t","directory","names","plain","english","executive","summary","map","implementation","strategy","phase","and","project","renames","namespace","updates","config","reference"],["librarian","oracle"],"**Decision ID**: DECISION_031 **Category**: Infrastructure **Status**: REJECTED (Oracle: 65% rejected, Designer: 55% rejected — risk too high, benefit too low) **Priority**: High **Date**: 2026-02-20 **Oracle Approval**: 96% **Designer Approval**: Pending"
DECISION_035,decision,architecture,active,2026-02-23T01:31:15.670Z,["decision035","endtoend","jackpot","signal","testing","pipeline","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies","risks"],["librarian","oracle"],"**Decision ID**: TEST-035 **Category**: TEST **Status**: Implemented **Priority**: Critical **Date**: 2026-02-20 **Oracle Approval**: 88% (Strategist Assimilated) **Designer Approval**: 90% (Completed)"
DECISION_036,decision,architecture,active,2026-02-23T01:31:15.671Z,["decision036","foureyes","development","assistant","activation","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies","risks","and"],["librarian","oracle"],"**Decision ID**: FEAT-036 **Category**: FEAT **Status**: Implemented **Priority**: Critical **Date**: 2026-02-20 **Oracle Approval**: 85% (Strategist Assimilated) **Designer Approval**: 90% (Completed)"
DECISION_038,decision,architecture,active,2026-02-23T01:31:15.672Z,["decision038","multiagent","decisionmaking","workflow","with","forgewright","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies","risks"],["librarian","oracle"],"**Decision ID**: FORGE-003 **Category**: FORGE **Status**: Implemented **Priority**: Critical **Date**: 2026-02-20 **Oracle Approval**: 95% (Strategist Assimilated) **Designer Approval**: 92% (Strategist Assimilated)"
DECISION_039,decision,architecture,active,2026-02-23T01:31:15.674Z,["decision039","tool","migration","mcp","server","via","toolhive","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies"],["librarian","oracle"],"**Decision ID**: MIGRATE-004 **Category**: INFRA **Status**: Partially Implemented (Gateway Only) **Priority**: Critical **Date**: 2026-02-20 **Oracle Approval**: 94% (Strategist Assimilated) **Designer Approval**: 91% (Strategist Assimilated)"
DECISION_041,decision,architecture,active,2026-02-23T01:31:15.675Z,["decision041","orionstars","session","renewal","and","authentication","recovery","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","implementation"],["librarian","oracle"],"**Decision ID**: AUTH-041 **Category**: AUTH **Status**: Completed (SessionRenewalService + 12 tests, live probe validated HTTP 200) **Priority**: Critical **Date**: 2026-02-20 **Oracle Approval**: 94% **Designer Approval**: 96%"
DECISION_042,decision,architecture,active,2026-02-23T01:31:15.677Z,["decision042","agent","implementation","completion","decision027028","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies","risks","and"],["librarian","oracle"],"**Decision ID**: IMPL-042 **Category**: IMPL **Status**: Proposed **Priority**: Medium **Date**: 2026-02-20 **Oracle Approval**: Pending **Designer Approval**: Pending"
DECISION_046,decision,architecture,active,2026-02-23T01:31:15.679Z,["decision046","configurationdriven","jackpot","selectors","executive","summary","specification","requirements","technical","details","action","items","dependencies","consultation","log","oracle","strategist","assimilated","designer","notes"],["librarian","oracle"],"**Decision ID**: OPS-046 **Category**: OPS **Status**: Implemented (via DECISION_045 — GameSelectorConfig.cs + appsettings.json fallback chains) **Priority**: High **Date**: 2026-02-20 **Oracle Approval**: Pending **Designer Approval**: Pending"
DECISION_047,decision,architecture,active,2026-02-23T01:31:15.681Z,["decision047","parallel","h4nd","execution","for","multisignal","autospins","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies"],["librarian","oracle"],"**Decision ID**: ARCH-047 **Category**: ARCH (Architecture) **Status**: Burn-In FAILED — Configuration Issue (CDP Host IP Mismatch) **Priority**: Critical **Date**: 2026-02-20 **Oracle Approval**: 78% **Designer Approval**: 92%"
DECISION_048,decision,architecture,active,2026-02-23T01:31:15.682Z,["decision048","implement","tool","call","proxying","toolhive","gateway","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies"],["librarian","oracle"],"**Decision ID**: DECISION_048 **Category**: INFRA **Status**: Completed **Priority**: High **Date**: 2026-02-20 **Oracle Approval**: 88% (Strategist Assimilated) **Designer Approval**: 92%"
DECISION_049,decision,architecture,active,2026-02-23T01:31:15.683Z,["decision049","restore","rag","mcp","server","healthy","status","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies"],["librarian","oracle"],"**Decision ID**: DECISION_049 **Category**: INFRA **Status**: Completed **Priority**: High **Date**: 2026-02-20 **Oracle Approval**: 85% (Strategist Assimilated) **Designer Approval**: 88%"
DECISION_050,decision,architecture,active,2026-02-23T01:31:15.683Z,["decision050","restore","decisions","mcp","server","healthy","status","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies"],["librarian","oracle"],"**Decision ID**: DECISION_050 **Category**: INFRA **Status**: Completed **Priority**: High **Date**: 2026-02-20 **Oracle Approval**: 82% (Strategist Assimilated) **Designer Approval**: 85%"
DECISION_051,decision,architecture,active,2026-02-23T01:31:15.684Z,["decision051","configurable","toolhive","desktop","integration","executive","summary","background","current","state","desired","specification","requirements","technical","details","action","items","dependencies","risks","and"],["librarian","oracle"],"**Decision ID**: DECISION_051 **Category**: INFRA **Status**: Completed **Priority**: Critical **Date**: 2026-02-20 **Completed**: 2026-02-21 **Oracle Approval**: Approved **Designer Approval**: Approved"
DECISION_052,decision,architecture,active,2026-02-23T01:31:15.685Z,["decision052","ingest","speech","logs","into","rag","executive","summary","background","what","are","content","examples","value","for","specification","requirements","file","inventory","technical"],["librarian","oracle"],"**Decision ID**: DECISION_052 **Category**: RAG **Status**: Completed **Priority**: Critical **Date**: 2026-02-20 **Oracle Approval**: 90% (Strategist Assimilated) **Designer Approval**: 88% (Strategist Assimilated)"
